06-01663,Port 1,Port 1,Port 2,Port 2,Port 3,Port 3,Port 4,Port 4,Port 5,Port 5,Port 5,Port 6,Port 6,Port 7,Port 7,Port 8,Port 8
Records: 4846,5TM,5TM,5TM,5TM,5TM,5TM,5TM,5TM,5TE,5TE,5TE,5TM,5TM,Battery,Battery,Barometer,Barometer
Timestamp, m³/m³ Water Content, °C Soil Temperature, m³/m³ Water Content, °C Soil Temperature, m³/m³ Water Content, °C Soil Temperature, m³/m³ Water Content, °C Soil Temperature, m³/m³ Water Content, °C Soil Temperature, mS/cm Bulk EC, m³/m³ Water Content, °C Soil Temperature,% Battery Percent, mV Battery Voltage, kPa Reference Pressure, °C Logger Temperature
10/10/22 16:00,-0.020,21.3,-0.022,21.3,-0.003,21.4,-0.014,21.5,0.005,21.5,0.00,-0.020,21.1,100,7571,84.31,21.9
10/10/22 17:00,-0.020,21.2,-0.022,21.2,-0.001,21.2,-0.013,21.1,0.006,21.2,0.00,-0.020,21.0,100,7606,84.28,21.5
10/10/22 18:00,-0.020,21.1,-0.022,21.1,-0.001,21.1,-0.013,21.0,0.006,21.1,0.00,-0.020,20.9,100,7607,84.28,21.0
10/10/22 19:00,-0.020,21.1,-0.022,21.2,-0.001,21.2,-0.013,21.0,0.007,21.2,0.00,-0.020,20.9,100,7606,84.30,21.0
10/10/22 20:00,-0.020,21.1,-0.022,21.1,-0.001,21.1,-0.013,21.0,0.007,21.2,0.00,-0.020,20.9,100,7606,84.31,20.9
10/10/22 21:00,-0.011,19.0,-0.022,19.1,-0.017,19.0,-0.023,18.7,-0.016,18.9,0.00,-0.023,18.8,100,7602,84.45,19.9
10/10/22 22:00,-0.017,18.1,-0.021,18.2,-0.020,18.3,-0.019,18.2,-0.017,18.4,0.00,-0.023,18.2,100,7602,84.37,18.5
10/10/22 23:00,-0.017,20.0,-0.019,19.9,-0.020,19.8,-0.015,19.8,-0.018,19.7,0.00,-0.023,19.5,100,7600,84.41,19.4
10/11/22 0:00,-0.017,16.8,-0.019,17.3,-0.020,16.4,-0.016,16.2,-0.018,16.1,0.00,-0.023,16.1,100,7570,84.39,17.6
10/11/22 1:00,-0.017,14.4,-0.019,14.9,-0.020,14.1,-0.017,13.9,-0.018,13.9,0.01,-0.023,13.8,100,7571,84.38,15.2
